SYSTEM,OP_TYPE,LATENCY_MICROSECONDS
Process,PRESETUP,0
Process,SETUP_SANDBOX,4305
Process,FIRST_EXECUTION,206
Process,EXECUTION,141
Process,EXECUTION,135
Process,EXECUTION,132
Process,EXECUTION,130
Process,EXECUTION,136
Process,EXECUTION,108
Process,EXECUTION,125
Process,EXECUTION,142
Process,EXECUTION,125
Process,EXECUTION,126
Process,EXECUTION,125
Process,EXECUTION,126
Process,EXECUTION,129
Process,EXECUTION,127
Process,EXECUTION,126
Process,EXECUTION,126
Process,EXECUTION,127
Process,EXECUTION,126
Process,EXECUTION,126
Process,EXECUTION,127
Process,EXECUTION,124
Process,EXECUTION,134
Process,EXECUTION,124
Process,EXECUTION,128
Process,EXECUTION,126
Process,EXECUTION,125
Process,EXECUTION,133
Process,EXECUTION,128
Process,EXECUTION,127
Process,EXECUTION,126
Process,EXECUTION,126
Process,EXECUTION,133
Process,EXECUTION,124
Process,EXECUTION,127
Process,EXECUTION,126
Process,EXECUTION,125
Process,EXECUTION,130
Process,EXECUTION,128
Process,EXECUTION,127
Process,EXECUTION,126
Process,EXECUTION,126
Process,EXECUTION,126
Process,EXECUTION,124
Process,EXECUTION,128
Process,EXECUTION,123
Process,EXECUTION,133
Process,EXECUTION,127
Process,EXECUTION,127
Process,EXECUTION,127
Process,EXECUTION,110
Process,EXECUTION,107
Process,EXECUTION,101
Process,EXECUTION,100
Process,EXECUTION,98
Process,EXECUTION,98
Process,EXECUTION,97
Process,EXECUTION,109
Process,EXECUTION,98
Process,EXECUTION,97
Process,EXECUTION,99
Process,EXECUTION,102
Process,EXECUTION,107
Process,EXECUTION,100
Process,EXECUTION,100
Process,EXECUTION,97
Process,EXECUTION,103
Process,EXECUTION,97
Process,EXECUTION,105
Process,EXECUTION,100
Process,EXECUTION,99
Process,EXECUTION,98
Process,EXECUTION,97
Process,EXECUTION,106
Process,EXECUTION,99
Process,EXECUTION,98
Process,EXECUTION,97
Process,EXECUTION,100
Process,EXECUTION,148
Process,EXECUTION,169
Process,EXECUTION,119
Process,EXECUTION,104
Process,EXECUTION,100
Process,EXECUTION,110
Process,EXECUTION,99
Process,EXECUTION,99
Process,EXECUTION,99
Process,EXECUTION,100
Process,EXECUTION,98
Process,EXECUTION,99
Process,EXECUTION,98
Process,EXECUTION,98
Process,EXECUTION,99
Process,EXECUTION,99
Process,EXECUTION,106
Process,EXECUTION,99
Process,EXECUTION,97
Process,EXECUTION,99
Process,EXECUTION,99
Process,EXECUTION,100
Process,EXECUTION,124
Process,EXECUTION,113
Process,EXECUTION,98
Process,EXECUTION,85
Process,EXECUTION,85
Process,EXECUTION,201
Process,EXECUTION,84
Process,EXECUTION,83
Process,EXECUTION,87
Process,EXECUTION,85
Process,EXECUTION,104
Process,EXECUTION,87
Process,EXECUTION,84
Process,EXECUTION,83
Process,EXECUTION,83
Process,EXECUTION,83
Process,EXECUTION,93
Process,EXECUTION,84
Process,EXECUTION,82
Process,EXECUTION,83
Process,EXECUTION,84
Process,EXECUTION,94
Process,EXECUTION,91
Process,EXECUTION,86
Process,EXECUTION,85
Process,EXECUTION,82
Process,EXECUTION,85
Process,EXECUTION,85
Process,EXECUTION,155
Process,EXECUTION,84
Process,EXECUTION,84
Process,EXECUTION,84
Process,EXECUTION,83
Process,EXECUTION,83
Process,EXECUTION,74
Process,EXECUTION,85
Process,EXECUTION,82
Process,EXECUTION,82
Process,EXECUTION,86
Process,EXECUTION,83
Process,EXECUTION,84
Process,EXECUTION,84
Process,EXECUTION,94
Process,EXECUTION,84
Process,EXECUTION,85
Process,EXECUTION,83
Process,EXECUTION,87
Process,EXECUTION,85
Process,EXECUTION,84
Process,EXECUTION,81
Process,EXECUTION,84
Process,EXECUTION,84
Process,EXECUTION,95
Process,EXECUTION,96
Process,EXECUTION,84
Process,EXECUTION,83
Process,EXECUTION,83
Process,EXECUTION,87
Process,EXECUTION,86
Process,EXECUTION,95
Process,EXECUTION,83
Process,EXECUTION,86
Process,EXECUTION,85
Process,EXECUTION,87
Process,EXECUTION,88
Process,EXECUTION,83
Process,EXECUTION,83
Process,EXECUTION,84
Process,EXECUTION,87
Process,EXECUTION,88
Process,EXECUTION,83
Process,EXECUTION,85
Process,EXECUTION,84
Process,EXECUTION,86
Process,EXECUTION,85
Process,EXECUTION,87
Process,EXECUTION,95
Process,EXECUTION,87
Process,EXECUTION,85
Process,EXECUTION,84
Process,EXECUTION,84
Process,EXECUTION,91
Process,EXECUTION,84
Process,EXECUTION,85
Process,EXECUTION,83
Process,EXECUTION,84
Process,EXECUTION,86
Process,EXECUTION,88
Process,EXECUTION,84
Process,EXECUTION,85
Process,EXECUTION,84
Process,EXECUTION,86
Process,EXECUTION,85
Process,EXECUTION,92
Process,EXECUTION,83
Process,EXECUTION,83
Process,EXECUTION,87
Process,EXECUTION,85
Process,EXECUTION,87
Process,EXECUTION,137
Process,EXECUTION,86
Process,EXECUTION,84
Process,EXECUTION,84
Process,EXECUTION,85
Process,EXECUTION,101
Process,EXECUTION,85
Process,EXECUTION,83
Process,EXECUTION,85
Process,EXECUTION,83
Process,EXECUTION,83
Process,EXECUTION,84
Process,EXECUTION,92
Process,EXECUTION,86
Process,EXECUTION,85
